Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
CBCNS,CBCNS,CBCNS,OR,source,CBC,Nova Scotia,Nova Scotia,Canada,CBC,,
CBCNunavut,CBCNunavut,CBCNunavut,OR,source,CBC,North,North,Canada,CBC,,
CBCOlivia,CBCOlivia,CBCOlivia,OR,person,CBC,Sudbury,Ontario,Canada,CBC,,
CBCOlympics,CBCOlympics,CBCOlympics,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCOntarioToday,CBCOntarioToday,CBCOntarioToday,OR,source,CBC,Ontario,Ontario,Canada,CBC,,
CBCOntMorning,CBCOntMorning,CBCOntMorning,OR,source,CBC,Ontario,Ontario,Canada,CBC,,
CBCOttawa,CBCOttawa,CBCOttawa,OR,source,CBC,Ottawa,Ontario,Canada,CBC,,
cbcotttraffic,cbcotttraffic,cbcotttraffic,OR,source,CBC,Ottawa,Ontario,Canada,CBC,,
CBCPEI,CBCPEI,CBCPEI,OR,source,CBC,PEI,PEI,Canada,CBC,,
CBCPolitics,CBCPolitics,CBCPolitics,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCQueensPark,CBCQueensPark,CBCQueensPark,OR,source,CBC,Ontario,Ontario,Canada,CBC,,
cbcradio,cbcradio,cbcradio,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCRadio3,CBCRadio3,CBCRadio3,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCRadioaddict,CBCRadioaddict,CBCRadioaddict,OR,person,CBC,Canada,Canada,Canada,CBC,,
CBCRadioCanada,CBCRadioCanada,CBCRadioCanada,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCRadioCanada,CBCRadioCanada,CBCRadioCanada,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcradioq,cbcradioq,cbcradioq,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcrob,cbcrob,cbcrob,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
CBCSask,CBCSask,CBCSask,OR,source,CBC,Saskatchewan,Saskatchewan,Canada,CBC,,
CBCSaskatoon,CBCSaskatoon,CBCSaskatoon,OR,source,CBC,Saskatoon,Saskatchewan,Canada,CBC,,
cbcsports,cbcsports,cbcsports,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCSunday,CBCSunday,CBCSunday,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCSuperiorMorn,CBCSuperiorMorn,CBCSuperiorMorn,OR,source,CBC,Thunder Bay,Ontario,Canada,CBC,,
CBCTashauna,CBCTashauna,CBCTashauna,OR,person,CBC,Canada,Canada,Canada,CBC,,
CBCTBay,CBCTBay,CBCTBay,OR,source,CBC,Thunder Bay,Ontario,Canada,CBC,,
CBCTempo,CBCTempo,CBCTempo,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCTheGoods,CBCTheGoods,CBCTheGoods,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCTheHouse,CBCTheHouse,CBCTheHouse,OR,source,CBC,Ottawa,Ontario,Canada,CBC,,
CBCTheNational,CBCTheNational,CBCTheNational,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCThisIsThat,CBCThisIsThat,CBCThisIsThat,OR,source,CBC,Vancouver,British Columbia,Canada,CBC,,
cbctom,cbctom,cbctom,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
CBCToronto,CBCToronto,CBCToronto,OR,source,CBC,Toronto,Ontario,Canada,CBC,,
cbctorontomusic,cbctorontomusic,cbctorontomusic,OR,source,CBC,Toronto,Ontario,Canada,CBC,,
CBCTracy,CBCTracy,CBCTracy,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
CBCTraffic,CBCTraffic,CBCTraffic,OR,source,CBC,Vancouver,British Columbia,Canada,CBC,,
CBCVancouver,CBCVancouver,CBCVancouver,OR,source,CBC,Vancouver,British Columbia,Canada,CBC,,
CBCWaddell,CBCWaddell,CBCWaddell,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
CBCWam,CBCWam,CBCWam,OR,person,CBC,Newfoundland,Newfoundland,Canada,CBC,,
CBCWindsor,CBCWindsor,CBCWindsor,OR,source,CBC,Windsor,Ontario,Canada,CBC,,
cbcyukonquest,cbcyukonquest,cbcyukonquest,OR,source,CBC,Yukon,Yukon,Canada,CBC,,
CBS12,CBS12,CBS12,OR,source,CBS,Florida,Florida,USA,Not CBC,,
CBS21NEWS,CBS21NEWS,CBS21NEWS,OR,source,CBS,Harrisburg,Pennsylvania,USA,Not CBC,,
CCampbellCTV,CCampbellCTV,CCampbellCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
ccdacre,ccdacre,ccdacre,OR,source,Castanet News,Penticton,British Columbia,Canada,Not CBC,,
CdnPress,CdnPress,CdnPress,OR,source,The Canadian Press,Canada,Canada,Canada,Not CBC,,
CdnPress_Arts,CdnPress_Arts,CdnPress_Arts,OR,source,The Canadian Press,Canada,Canada,Canada,Not CBC,,
CFJC_Today,CFJC_Today,CFJC_Today,OR,source,CFJC Today,Kamloops,British Columbia,Canada,Not CBC,,
CFRAOttawa,CFRAOttawa,CFRAOttawa,OR,source,CFRA Ottawa,Ottawa,Ontario,Canada,Not CBC,,
ChadHarrisBC,ChadHarrisBC,ChadHarrisBC,OR,person,City,Vancouver,British Columbia,Canada,Not CBC,,
CHEK_News,CHEK_News,CHEK_News,OR,source,CHEK News,Victoria,British Columbia,Canada,Not CBC,,
ChiuCBC,ChiuCBC,ChiuCBC,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
ChristyCBC,ChristyCBC,ChristyCBC,OR,person,CBC,Regina,Saskatchewan,Canada,CBC,,
chronicleherald,chronicleherald,chronicleherald,OR,source,Chrinicle Herald,Halifax,Nova Scotia,Canada,Not CBC,,
